,date,headline,description
101,"July 11, 2023, 17:00 IST","In UCC Debate, BJP Must Highlight How 1937 Shariat Act Divided India, Says Gurumurthy | News18 Exclusive","Lauding PM Narendra Modi for starting a debate on Uniform Civil Code in the country, RSS ideologue S Gurumurthy says the 1937 law wanted to incorporate Islam into legislation, while the Hindu Code was meant to modify the religion to suit the contemporary times"
102,"July 11, 2023, 15:31 IST",Odisha CM Naveen Patnaik Approves Rural-Urban Transition Policy; What Is It All About?,Fast-growing rural areas next to urban centres will receive the state government’s focused attention like that of urban areas under the policy
103,"July 11, 2023, 15:23 IST","ED Can Arrest You Without Bail, AAP Warns Traders; Atishi Clashes With Sitharaman at GST Council Meet","Sensing an opportunity to woo the trading community away from BJP, the Arvind Kejriwal-led AAP has demanded a withdrawal of the amendment that brought the GST Network under the ambit of money laundering provisions"
104,"July 11, 2023, 11:18 IST",Development or Demography Change? China's Expanding Infrastructure in Tibet Raises Concerns for Locals,The Tibetan people believe that the infrastructure development in Tibet will benefit the Chinese military in the region
105,"July 11, 2023, 10:37 IST",WB Panchayat Elections: 3 Factors to Watch Out for in West Bengal's 2024 Semi-Final,"West Bengal Panchayat election results are the only semi-final the state will witness before the big Lok Sabha battle of 2024. The BJP's performance will be watched in areas like Jangal Mahal Purulia, Bankura, Jhargram as well as North Bengal -- areas where the ruling TMC has been cautious this time"
106,"July 11, 2023, 10:15 IST",‘Sharing Best of Tech with India’: French Envoy Says PM Modi’s France Visit a ‘Significant Push’ to Ties,"Regarding the future collaborations in defence as well as civilian nuclear energy, Ambassador Emmanuel Lenain mentioned the possibility of additional deals of Rafale jets and the transfer of high tech, including jet engine technology"
107,"July 10, 2023, 23:06 IST","26 Rafale-M Aircraft, 3 Scorpene Submarines: Key Defence Deals on Cards During PM Modi’s France Visit","Sources said that India is expected to procure 26 naval versions of the Rafale aircraft, out of which 4 will be trainer aircraft
"
108,"July 10, 2023, 22:12 IST","‘Detrimental to India's Diversity’: KCR Opposes Uniform Civil Code, Asks Leaders to Make Plan for Parl Fight","Hyderabad MP Owaisi, who also met KCR today over the issue, made an appeal to Andhra Pradesh CM Jagan Mohan Reddy to oppose the UCC"
109,"July 10, 2023, 16:39 IST",Ram Mandir Garbh Griha to be Ready by December | Latest Photos,"According to the temple trust, the process of the consecration of Ram Lalla will begin after Makar Sankranti (January 14)"
110,"July 10, 2023, 16:29 IST",BJP Identifies 4-Point Mantra to Reverse Electoral Fortunes in South India Before Lok Sabha Elections,"With Lok Sabha elections 2024 in top focus, sources privy to the developments told News18 that the southern generals of the BJP have been given a four-point mantra by the top brass."
111,"July 10, 2023, 14:26 IST",DRDO Scientist Arrest: Charge Sheet Reveals Pak Operative Sought Help of Air Force Corporal in Bengaluru,"The investigation by ATS revealed that the PIO agent was in touch with an Air Force corporal stationed in Bangalore, who helped them with an Indian number to communicate with Pradeep Kurulkar. The statement by the corporal has been mentioned as a witness in the case 
"
112,"July 10, 2023, 10:33 IST",'Pure Offence': China Fumes Over US Special Envoy's Meet with Dalai Lama in Delhi As Ties Teeter on the Brink,"China has criticised the meeting between the US special envoy and Dalai Lama, calling it an interference in China’s internal affairs. Reacting to the meeting, Wang Xiaojian, spokesperson of Chinese Embassy in Delhi said ""China firmly opposes any form of contact between foreign officials and the ""Tibetan independence"" forces"
113,"July 10, 2023, 00:11 IST","‘Doval Diplomacy’? Low-key Turnout for Pro-Khalistan ‘Freedom Rally’ in UK, USA",This is being seen as a diplomatic win for India after national security adviser Ajit Doval held many rounds of talks with his counterparts in UK and USA and managed to get commitments
114,"July 09, 2023, 21:30 IST","Polling Over for Panchayat Polls, Central Forces Are Still to Coming to West Bengal","As per the court order, a total of 822 companies of Central Forces were supposed to reach Bengal by July 8, but why was security not deployed at all booths, despite the order, is a pertinent question in the political landscape"
115,"July 09, 2023, 15:18 IST",Chargesheet in DRDO Scientist Case Reveals Clear Case of Honey Trap | Exclusive,"The chargesheet, obtained exclusively by CNN News18, reveals details of a honey trap operation that compromised sensitive information related to missile systems and other defense programmes"
116,"July 09, 2023, 13:27 IST",Jaishankar to File RS Nomination from Gandhinagar Tomorrow; BJP Parl Board to Decide on Other Vacant Seats,"Apart from Jaishankar, two other MPs from Gujarat set to retire from Rajya Sabha include Dinesh Anavadiya and Jugalsinh Lokhandwala. Six MPs from West Bengal and one from Goa are also set to retire from Rajya Sabha in this lot
"
117,"July 09, 2023, 10:01 IST","Why Palaniswami’s Opposition to UCC is About Course Correction, Maintaining Goodwill with Minorities","There are two reasons behind this development: It will gradually become apparent as to why Palaniswami is opposing UCC after the issue snowballs to a point where political players are forced to take positions. Second, he had taken a stand in 2020 in the aftermath of CAA protests that Opposition parties were indulging in fear-mongering"
118,"July 08, 2023, 19:15 IST",US Under Secretary Uzra Zeya in Delhi; to Engage on ‘Marginalised Religious and Ethnic Minorities’,"Uzra Zeya, who is also the US special coordinator for Tibetan issues, is scheduled to travel to India and Bangladesh from July 8 to 14"
119,"July 08, 2023, 14:04 IST",Awkward Moment in Bombay HC as New NCP Minister Bhujbal's Old Plea Against Shinde Govt Comes Up,"The petition, which accused the Eknath Shinde government of blocking developmental funds, will most likely be withdrawn “because Bhujbal sahab is now a minister and he won’t face the problem”, the NCP leader’s lawyer said"
120,"July 08, 2023, 12:03 IST",‘Bangladeshi Illegals Changing Demography in Jharkhand’s Tribal Region’: Special Branch in Letter,"The BJP has demanded the NRC for the Santhal Pargana region, which has witnessed a major influx of Bangladeshis in the border districts and said it had repeatedly raised the issue in the Jharkhand legislative assembly"
121,"July 08, 2023, 10:00 IST","Let’s Talk Law | Legally Speaking, the Shariat Act of 1937 Must Go. Here is Why","Apart from the dubious origins of the law that protects Sharia in India, the legal grounds on which the Sharia law is protected are thin and flimsy"
122,"July 08, 2023, 00:30 IST","Indian High Commission in London to Get Full Security, UK Govt Responsible for Protection: Sources | Exclusive","During a meeting between officials of the two countries, the British side promised adequate safety and security of the high commission and the Indian diplomats in the UK, said the sources, ahead of a protest by Khalistani separatists on Saturday"
123,"July 08, 2023, 00:08 IST","China Poses ‘New Bio Threat’, CCP & Military Developing ‘Neurostrike’ Weapons: Report",Chinese Communist Party and its People’s Liberation Army are now leaders in developing weapons designed to attack or control the brain. This is a part of core strategy against US and its allies in the Indo-Pacific
124,"July 07, 2023, 19:01 IST",Indian Railways Now Past 90% Electrification Milestone as 'Zero Carbon Emission' Mission on Fast Track,Railway electrification has picked up pace under the Narendra Modi government with a view to reduce the nation's dependence on imported petroleum-based fuels and to enhance India's energy security
125,"July 07, 2023, 17:57 IST","Congress's 5 Guarantees Star in Karnataka Budget as Siddaramaiah Junks NEP, Woos Minorities","Karnataka chief minister Siddaramaiah, who also holds the finance portfolio, plans to spend Rs 52,000 crore annually on the five poll guarantees with a budget outlay of over Rs 3.27 lakh crore"
126,"July 07, 2023, 16:47 IST","New Lucknow-Gorakhpur, Jodhpur-Sabarmati Trains Take Vande Bharat Count to 25 | A Look at the Journey","The first Vande Bharat for India, inaugurated in February 2019, was between Uttar Pradesh’s Varanasi and Delhi"
127,"July 07, 2023, 16:25 IST","As Sourav Ganguly Teases Birthday Suspense, Sources Close to 'Dada' Bet on Biopic Over Politics","Sources close to Sourav Ganguly claim politics is not on the former cricketer’s mind right now. They think the announcement on July 8, Ganguly’s 51st birthday, could be around a biopic and the launch of an app"
128,"July 07, 2023, 10:48 IST",‘Rattled’ Khalistani Groups Asked to Kill Soft Targets But Won’t Attack Embassies: Punjab Police Sources,Sources told CNN-News18 that Khalistanis have activated gangsters and are planning to strike as soon as possible
129,"July 07, 2023, 09:47 IST","As Kejriwal Waits for His Tea Invite, Staking It All on Congress Yes or No is a Costly Gamble","If the AAP’s gamble of staking it all on the Congress’s public position on the Ordinance does not pay off, it would not just bring down the index of opposition unity, but also impact the mutual interests of both parties in at least two states as well as heighten the risk of AAP getting isolated"
130,"July 07, 2023, 09:30 IST",'Chandrayaan 3 Will Be A Success; Corrected Mistakes & Strengthened Lander': Ex-ISRO Chief to News18,"The man who headed Chandrayaan 2 and oversaw preparations for Chandrayaan 3, former ISRO chairman K Sivan, spoke exclusively to News18 about the launch and the work that followed after the last mission failed"
131,"July 07, 2023, 09:00 IST",Rebels with A Cause: Can Eknath Shinde And Ajit Pawar Help BJP Clear 2024 Maha Maths Test?,"Two parties of the MVA are facing an existential crisis and chances of the third are not good either, say observers. The opposition space in Maharashtra politics is staring at a dark future and it is only expected to help the BJP"
132,"July 07, 2023, 08:30 IST","Corridors of 'Pawar': In Baramati, People Back Nephew Ajit But Can't Let Go of Uncle Sharad | Exclusive","Sharad Pawar first became an MLA from here in 1967 on a Congress ticket. Ever since Baramati has never picked anyone other than a member of the Pawar family. For voters here, the senior Pawar is a demigod, while Ajit Pawar is someone who solves all their problems"
133,"July 06, 2023, 23:46 IST","Pakistan Govt Kicks Off Legal Battle Against Former PM Imran Khan, His Party PTI","The Shehbaz Sharif-led government and the newly launched Istehkam-e-Pakistan Party approached the Supreme Court and Election Commission of Pakistan for a ban on Imran Khan and PTI

"
134,"July 06, 2023, 19:41 IST","Karnataka Speaker Seeks VVIP Lane for Present, Ex MLAs at Toll Plaza, Takes U-turn after News18 Report","Following News18's report on this 'VVIP racism', the BJP was quick to criticise. Former CM Basavaraj Bommai accused the speaker of succumbing to pressure from other powerful colleagues"
135,"July 06, 2023, 16:12 IST","Bengal Panchayat Polls Ground Report | No Campaigning, No Voting—Why Giria Has Given Up","This area in Murshidabad district has not voted since 2003. The reason is, whether it was under the Left or now Trinamool Congress, the party in power in the state is the one that wins"
136,"July 06, 2023, 11:46 IST",Pakistan Taliban Has Access to US Weapons in Afghanistan: Report | Impact on Ties with Islamabad,"Arms trafficking dynamics appears to be highly localised owing to internal Taliban dynamics, commercial, political, and security interests, as well as longstanding ties between armed groups, fighters, and smuggling networks 
"
137,"July 06, 2023, 10:46 IST","‘Judges Always Open to Corrections, Allow Them to Work Independently’: Justice Rastogi on Collegium","In exclusive interview to News18, Justice Ajay Rastogi did not directly comment on the Uniform Civil Code debate, but said whatever be the ultimate result, it will be ‘respectfully acceptable to us’ 
"
138,"July 06, 2023, 10:15 IST","Internal Strife between Haqqani, Kandhari Groups, Sirajuddin’s ‘Ambitions’ Threaten Taliban | Exclusive","An internal power struggle between the powerful Haqqani group and the ruling Kandhari groups threatens to tear the Taliban apart, challenging their reign in Afghanistan"
139,"July 06, 2023, 08:48 IST",Bengal Panchayat Polls: Murshidabad Test Vital for Mamata Critic Adhir Ranjan as Cong Takes on TMC,The Congress is emboldened in Murshidabad as it is the stronghold of party leader Adhir Ranjan Chowdhury and he has no qualms about taking on CM Mamata Banerjee despite a pitch for opposition unity
140,"July 05, 2023, 23:57 IST",Andhra Pradesh: Techie Takes a Stand Against Municipal Authorities Over Illegal Seizure of Pet Dog,Female Techie blows bugle against municipal authorities on illegal catch of her pet dog along with stray dogs in Andhra Pradesh
141,"July 05, 2023, 22:55 IST","Uniform Civil Code Issue: Rijiju-led GoM Begins Consultations, Tribal Groups from Northeast in Focus","Some of the other members of the GoM, as per sources, are women and child development minister Smriti Irani, law minister Arjun Ram Meghwal, and minister incharge for Northeast G Kishan Reddy. The sources said the chief ministers of the north-eastern states have also been spoken to in the past two days"
142,"July 05, 2023, 18:52 IST",'Reddy' Or Not: BJP's New Telangana Chief Has A Tough To-do List,The state unit under the leadership of Bandi Sanjay Kumar was making headlines for all the wrong reasons
143,"July 05, 2023, 17:27 IST",'Govt Wants to Bring 10 Lakh People in J&K From Outside': Mehbooba Mufti Opposes Scheme for Landless People,"The Jammu & Kashmir Government on Monday said that they have approved a proposal for allotment of 5 Marlas of land each to landless Pradhan Mantri Awas Yojana - Gramin beneficiaries
"
144,"July 05, 2023, 16:04 IST",Taiwan to Set Up Taipei Economic And Cultural Center in Mumbai to Tighten Ties with India,The TECC in Mumbai will help expand mutually beneficial trade and investment opportunities between Taiwan and India. It will work in close coordination with the TECC in India and the TECC in Chennai to offer quality services to Taiwanese nationals and overseas compatriots
145,"July 05, 2023, 14:17 IST","Data Protection Bill Approved by Cabinet Now Awaits Passage in Parl, to Ensure Gender Empowerment","Giving details on procurement of data, a source told News18 that it will be done only for a “lawful purpose”. The individual should either give his or her consent before the processing of their personal data or such personal data be processed for certain legitimate uses” 
"
146,"July 05, 2023, 13:49 IST","Stuck in A Time Warp, Jangal Mahal Waits for 'Vikas' as BJP & TMC Eye Votes. Will Kurmis be the Trump Card?","Ahead of the panchayat elections, News18 travelled to Jhargram and Amlasole where five people of the Sabar community died due to starvation in 2004"
147,"July 05, 2023, 10:47 IST",One Take | The Congress Conundrum: RaGa's Ambition May be Final Straw as Fragile Oppn Cracks in Maharashtra,"The fact is that few opposition parties like the TMC and Sharad Pawar’s NCP have never been comfortable doing business with Rahul Gandhi. They feel that in contrast to Sonia Gandhi, whose politics was based on listening and consensus, Rahul is staccato and demanding"
148,"July 05, 2023, 09:09 IST","Amid Cabinet Rejig Buzz, Here’s Why Ministers Have Been Meeting BJP Chief Nadda",A source told News18 that the Union ministers have been given responsibility of working on weak Lok Sabha seats and that is the feedback they are sharing with the party’s national president in Delhi
149,"July 05, 2023, 07:04 IST","Vijay in Politics: Leo in 2023, Then a 2-Year Intermission & Election Debut in 2026? I Am Waiting, Quip His Fans","Tamil actor Vijay, who is shooting Lokesh Kanagaraj’s Leo currently, is likely to take a break from films for two years starting January 2024 to prepare ground for the 2026 Tamil Nadu Assembly elections. His fan association Thalapathy Vijay Makkal Iyakkam is tipped to be his political launch vehicle"
150,"July 04, 2023, 22:45 IST","Bengaluru Woman Dies by Suicide, Accuses Husband of Illicit Affair in WhatsApp Status Note","Officials also revealed that just a day before Pavitra died by suicide, the couple had a fight regarding Chetan's alleged affair with another woman"
151,"July 04, 2023, 17:46 IST","US No Longer Considers Khalistani Groups 'Protesters', FBI Action Likely on San Francisco Consulate Attack","The FBI is reportedly planning action as per criminal laws against such groups and has named the persons it seeks to target. In the past, activities of such pro-Khalistan groups have been explained away by the US as freedom of expression"
152,"July 04, 2023, 17:06 IST",Khalistani Groups Upset with PM Modi's Successful US Visit: Intel Sources | Exclusive,"Despite getting funding from Pakistan's Inter-Services Intelligence (ISI) they have not been able to perform successfully, the sources added, as they could gather only 50-60 people for protests"
153,"July 04, 2023, 16:07 IST",Way Out of the Debt Trap? Why Pakistan PM Attended SCO Meeting Hosted by India,"According to experts, Pakistan -- pulled back from the brink of default by a fresh IMF loan of $3 billion last week -- wants trade with India and also wishes to portray itself as a “responsible nation” before Russia and China"
154,"July 04, 2023, 15:32 IST","Maha NCP Split: A Repeat of 2019 at Karad Rally, Does Sharad Pawar Have a New Game plan?","The message at the Karad event was clear that while Sharad Pawar sees a split in his family and NCP, he is reaching out to voters again, asking them to support him
"
155,"July 04, 2023, 15:20 IST",Action Against ETIM Remains Stumbling Block as China Woos Taliban to Make Afghanistan Inroads,"In multiple meetings with Afghan foreign ministry officials, China has asked for a list of ETIM activists based in Afghanistan. Kabul’s Interior Ministry, however, has denied Beijing’s demand, saying the activists have been “our guests for a very long period of time”"
156,"July 04, 2023, 14:45 IST",'Legislative Process To Be Followed': Maharashtra Assembly Speaker on 'Pawar-Play' in NCP,"Narwekar said that first, it has to be determined who-- Ajit Pawar or Sharad Pawar-- leads NCP, and accordingly the whip will be decided"
157,"July 04, 2023, 13:56 IST","'No Clothes, No Home Food, Single Room, One Bed': BJP's WB Panchayat Poll Candidates in 'Safe House'","The BJP office in Baraipur has been converted into a ‘safe house’ for candidates contesting the July 8 West Bengal Panchayat elections. Some say their families are being threatened by the TMC to withdraw the nominations, forcing them to live away from home"
158,"July 04, 2023, 09:54 IST","After San Francisco Attack, Khalistani Groups Target Envoy Sandhu in New Poster over Nijjar’s Death","In the new poster, Taranjit Singh Sandhu and TV Nagendra Prasad, Consul General, Consulate General of India, San Francisco, have been accused of playing a role in the June killing of Khalistan Tiger Force chief and designated terrorist Hardeep Singh Nijjar 
"
159,"July 04, 2023, 08:52 IST","Amid Rising Cases of Drug Abuse, Narcotics Bureau to Set Up its First Office in Srinagar","A government survey report, exclusively accessed by News18, shows that at least 2.8% of the total population of Kashmir are substance users, with 52,404 dependents on drugs
"
160,"July 04, 2023, 08:09 IST","Balasore Train Crash: Among Multiple Signalling Lapses Flagged in CRS Report, Focus on Two Incidents","While the Commission of Railway Safety report into the Balasore train accident has mentioned the non-supply of circuit diagram for Electric Lifting Barrier replacement work, the responsibility of the accident has been placed on the Signal and Telecommunication Department"
161,"July 04, 2023, 00:19 IST","We'll Try to Implement UCC before Our Term Ends, 'Rubbish' That It's against Minorities: Mahesh Jethmalani to News18","Congressmen who oppose the UCC should read the constituent assembly debate, he said"
162,"July 03, 2023, 22:53 IST",NCP Split A Pleasant Surprise; Ajit Pawar Had Faced Mistreatment: Mahesh Jethmalani to News18,"Going by what Ajit Pawar says, it seems he's on solid grounds, added the BJP leader"
163,"July 03, 2023, 22:19 IST","Oppn Alliance Unethical, Corrupt; People Shouldn't Jump The Gun in UCC Debate: Piyush Goyal to News18","In an exclusive interview, the union minister and BJP leader spoke on a range of issues, including upcoming state and general elections, opposition unity efforts, PM Modi’s US visit and India’s international stature"
164,"July 03, 2023, 20:22 IST","CBI Files Fresh Charge Sheet in Land-for-job Scam, Naming Tejashwi, Lalu And Rabri","Tejashwi Yadav had alleged political vendetta on the grounds that the alleged crime happened between 2004 and 2009 when he was a minor but CBI officials told News18 that the charge sheet mentions how after turning major, the Rashtriya Janata Dal leader benefitted from the crime​"
165,"July 03, 2023, 17:52 IST",Pak Journalist Seeks Probe into Unexplained Wealth And Assets of Ex-army Chief Bajwa | Exclusive,"Ahmad Noorani, who is based in the US, also requested the Federal Investigation Agency (FIA) and interior ministry to include him in the probe via video link as there are allegedly grave threats to his life in Pakistan"
166,"July 03, 2023, 16:45 IST","If Muslim Personal Laws are Integral to Islam, Why Does Everyone Want to Run to US, Europe: Kerala Guv","Supporting the much-debated proposal to bring in a Uniform Civil Code in the country, Kerala Governor Arif Mohammed Khan, in an exclusive interview to News18, said the objective is not to create uniformity of customs but “uniformity of justice”"
167,"July 03, 2023, 16:41 IST","As NCP Split Shifts 'Balance of Pawar', Bengaluru Oppn Meet to Now Focus on BJP's Machinations","According to sources, Rahul Gandhi raised the point that 'as elections will come close and if the Congress wins state polls, the BJP will try everything to ensure that we split. Legitimately elected governments will be attempted to be toppled'"
168,"July 03, 2023, 15:35 IST",‘Such Rebellions Happen’: Sharad Pawar Vows to Reunite NCP After Ajit Claims Support of Majority of MLAs,"Dwelling on the new vertical split in the party after Ajit Pawar and eight other MLAs took oath as ministers in the Eknath Shinde government, Sharad Pawar said it is not important “how many are with you, important is the organisation”
"
169,"July 03, 2023, 15:31 IST",India’s Concerns Over ‘Khalistani Freedom’ Rally in Canada on July 8 | Exclusive from Intel Sources,"""The proposed rally in Toronto is nothing but a display parade of designated terrorists. These protests are supported by Pakistan’s ISI to spread disharmony in society,” top intelligence sources told CNN-News18"
170,"July 03, 2023, 14:48 IST","Move Over Anil Kapoor, Bengal Guv CV Anand Bose is the New ‘Nayak’ in Town. But Not Everyone is Impressed","Experts say Bose, through his move, is trying to convey that law and order remains an area of concern in Bengal. Though Mamata Banerjee’s relationship with Jagdeep Dhankar too was strained, Bose’s attempt to establish a parallel power centre will clearly not be tolerated by the government"
171,"July 03, 2023, 10:20 IST","NIA Conducts Raids in Mumbai and Pune, 4 Alleged ISIS Sympathisers Detained","NIA officials told News18 that multiple incriminating materials, including digital devices, were seized from the accused and their houses during the searches"
172,"July 03, 2023, 09:54 IST","Human Error, Not Sabotage Led to Deadly Balasore Train Accident That Killed Over 290, Suggests Rly Report","Soon after the incident, Railway Minister Ashwini Vaishnaw had blamed ""signalling interference"" and hinted at ""sabotage"" and tampering of the electronic interlocking system behind the triple train accident"
173,"July 02, 2023, 22:31 IST","UCC About Uniformity of Justice, Those Opposing Have No Confidence in Constitution: Kerala Guv | Exclusive",Kerala governor Arif Mohammed Khan said the Uniform Civil Code should be implemented as soon as possible as half the population of India was already affected and their lives adversely impacted
174,"July 02, 2023, 09:54 IST","Reviewing Morchas, Planning Next Meets, Reaching Out to People, BJP Brainstorms Ahead of 2024 Polls","In the Saturday meet with the BJP Morcha chiefs, each unit has been asked to come up with a plan of what they will do in the run-up to the next Lok Sabha elections in their individual departments with programmes from the booth level"
175,"July 01, 2023, 22:18 IST","Pakistan: Ahmadiyyas Face Police Crackdown on Eid, Charged with Blasphemy for Observing Muslim Festival","Pakistan law prohibits the Ahmadiyyas from calling themselves Muslim and observing Islamic festivals, as the sect has a disagreement with other Muslim communities over some beliefs"
176,"July 01, 2023, 22:18 IST",'Can be International Conspiracy': Manipur CM Biren Singh on Reason Behind Ethnic Violence | Exclusive,Manipur CM N Biren Singh said the state government was reaching out to the Kuki community and trying to convince them to “forget the past and stay together”
177,"July 01, 2023, 20:28 IST",Stormy Monsoon Session on Cards As Opposition Set to Corner Modi Govt; Listed Bills in Focus,"While everyone eagerly awaits the government's decision on introducing the highly anticipated Uniform Civil Code (UCC) Bill in the upcoming session, several other bills will be listed for passage"
178,"July 01, 2023, 14:55 IST",Uniform Civil Code: Fatwa by Shahi Imam of Delhi’s Jama Masjid Asks Muslim Groups to Keep Mum,"The Muslim Personal Law Board, meanwhile, issued a statement and criticised the government’s position on Uniform Civil Code"
179,"July 01, 2023, 13:13 IST",UCC is Latest Albatross Around Congress' Neck as BJP Plans to Expose 'Duplicity' on Hindutva Push,"If the party opposes UCC, it runs the risk of being accused by the BJP of being anti-women empowerment and anti-Hindu. However, its support to UCC may irk the Muslim votebank"
180,"July 01, 2023, 11:49 IST",Rising Electrocution Deaths in India a Looming Safety Concern in Monsoon. Here's How to Stay Safe,"In 2021, the latest year for which NCRB data is available, there were 12,529 deaths attributed to electrocution in the country, averaging 34 deaths per day"
181,"July 01, 2023, 11:11 IST","Did Highway Hypnosis Kill 25 in Buldhana? News18 Accesses Data, Explains Accident Reason","News18 accessed the state highway data that showed 358 accidents took place on Samruddhi Mahamarg between December 2022 and April 2023, of which 39 people were killed, 143 were critically injured and 236 people received minor injuries"
182,"July 01, 2023, 08:59 IST",'Will Check Safety on Samruddhi Mahamarg': CM Shinde After Horrific Buldhana Bus Accident | EXCLUSIVE,"Buldhana Bus Accident: While giving instructions to provide help to the accident victims, CM Shinde directed officials to provide immediate medical treatment to the injured at government expense."
183,"July 01, 2023, 08:30 IST",Let’s Talk Law | Uniform Civil Code: 5 Myths & Stereotypes around UCC That Fearmongers Will Have You Believe,Diversity and freedom to practise one’s religion are cited as the key grounds against the idea of a Uniform Civil Code. Both these facets of India’s democracy are protected broadly under fundamental rights that make the idea of a UCC tricky to implement but are not the ultimate roadblocks to it
184,"June 30, 2023, 18:06 IST",Arbaaz Merchant And Others to Give Statements to CBI in Sameer Wankhede Bribery Case | Exclusive,"Sources said those summoned have been asked to narrate the sequence of events in 2021 of the arrest of Aryan Khan, Arbaaz, and others by Wankhede and his team. They will also be asked about the bribe Wankhede, the then zonal director of the Narcotics Control Bureau (NCB), allegedly wanted from them, the sources added​"
185,"June 30, 2023, 15:52 IST",Pakistan PM Shehbaz Sharif to Attend SCO Heads of State Summit. Indian Govt Responds,The Indian government said bilateral issues should not stand in the way of engagement in multilateral forums.
186,"June 30, 2023, 11:59 IST",Atishi Shoots Up to No 2 Position in Delhi Cabinet as Kejriwal Hands Her Top Portfolios in Reshuffle,"In the third reshuffle in four months, Delhi CM Arvind Kejriwal has given Atishi the charge of Finance, Planning and Revenue. The total number of ministries and departments under her have shot up to 10 from six just four months ago when she was inducted"
187,"June 30, 2023, 11:00 IST","Mohali RPG Attackers Detained in Canada, Had Procured Fake Portuguese Passports",The accused first travelled to Portugal where they procured fake Portuguese passports. They then reached England by taking a ferry route via France
188,"June 30, 2023, 10:22 IST","Pakistan Staves Off Default, Reaches Much-Awaited Deal With IMF for $3 Billion Loan Program","The $3 billion funding, spread over nine months, is higher than expected for Pakistan. The staff-level agreement is subject to approval by the IMF Executive Board, with its consideration expected by mid-July"
189,"June 30, 2023, 01:04 IST","Maha Mahurat? State Cabinet Expansion Next Week, Say Sources | Exclusive","While the Eknath Shinde-led Shiv Sena is expected to get two ministerial berths in the union cabinet, the Maharashtra formula is likely to be fifty-fifty for the BJP and its ally"
190,"June 29, 2023, 19:43 IST",TN Guv Takes Back Sacking Order of Jailed Minister Senthil Balaji from Cabinet Amid Backlash: Sources,"According to sources, Raj Bhawan's previous order stands suspended till the legal opinion and Balaji will continue to be in the cabinet"
191,"June 29, 2023, 15:49 IST",Canadian Govt Allowing Khalistani Elements to Thrive for Domestic Constituency: Sources | Exclusive,"A number of letters rogatory and deportation requests are pending with Canadian authorities but there has been no response, said the intelligence sources"
192,"June 29, 2023, 14:36 IST","‘Don’t Throw Mattresses in Nallahs’: BMC Chief's Appeal to Mumbaikars, Assures New Tech for Potholes","BMC Commissioner Iqbal Singh Chahal told News18 Mumbai subways will get underwater storage tanks after the success at two of the worst flooding spots -- Hindmata Chowk and King's Circle
"
193,"June 29, 2023, 12:13 IST","‘Clear Dues’: Saudi Threatens to Clip Pak State Airline’s Wings, Warns of Ban on Hajj Flights",The Saudi aviation body has threatened to halt all repatriation flights if Pakistan does not clear its dues.
194,"June 29, 2023, 12:00 IST",Muslim Groups May Not Oppose Uniform Civil Code to Avoid Giving Electoral Advantage to BJP,"In a meeting on Tuesday, the All India Muslim Personal Law Board instead decided it would soon submit a draft document on Uniform Civil Code to the Law Commission"
195,"June 29, 2023, 08:30 IST",Congress Makes TS Singh Deo Deputy CM to End Chhattisgarh Conflict; Can Same Plan Settle Rajasthan Dust-up?,"The question is, does this mean that Bhupesh Baghel will not automatically be seen as the CM face and will Congress keep the guessing game going? And more importantly, after solving the Chhattisgarh issue, will Rajasthan too see a similar proposal?"
196,"June 29, 2023, 08:00 IST","World Cup 2023: Going to Ahmedabad for India-Pakistan Clash? Take Guard to Face Rs 30,000+ Hotel Bill Bouncer","Travel agents also said cab fares for reaching the stadium on the day could be extortionate. While a lot of hotels are sold out already, the ones that still have a few rooms left will increase their tariffs in the coming days. Read on to know where the Indian cricket team could be staying"
197,"June 28, 2023, 23:24 IST","UK-India Links Closer than Ever; Eager to Visit for G20, World Cup And Mithai: Rishi Sunak | Exclusive","The British PM was speaking at a special reception hosted by him at his official residence and office in 10 Downing Street as part of India Global Forum's flagship event UK-India Week, which is being held from June 26-30 in London"
198,"June 28, 2023, 20:28 IST","Rein in Civil Society Groups, Allow Security Forces to Function: Centre's Stern Words to Manipur CM","Following the missive, N Biren Singh met several civil society groups on Tuesday including women's group Meira Paibi, conglomeration of civil society groups COCOMI, all Manipur local clubs, etc. Sources said the CM also reached out to groups like Meitei Lipun which has been accused of violence against Kukis"
199,"June 28, 2023, 11:14 IST",‘My Name Is Khan and I’m Not a Traitor’: Imran Demands Live Trials for May 9 'Rioters',Imran Khan refuted allegations that PTI cadres involved in riots were against Pakistan and demanded live trials of those accused.
200,"June 28, 2023, 01:45 IST","Assam Opposition Slams Delimitation Draft; Congress, AIUDF May Approach Supreme Court","The Election Commission released a draft for delimitation in Assam on June 20 and proposed to reduce assembly seats in Barak valley, which had 15 constituencies till the 2021 polls, to 13"
201,"June 27, 2023, 22:08 IST",More Central Forces Could Be Sent to Strife-torn Manipur after July 8 Bengal Panchayat Polls,"Close to thirty thousand troops have already been sent to Manipur ever since violence began, while 337 central paramilitary companies have been sent to West Bengal so far"
202,"June 27, 2023, 21:43 IST","Former Odisha MLA Sentenced to Life for Wife's Murder, Case Closed After Nearly Three Decades","The conviction of Gomango, a former legislator from the Gunupur Assembly constituency, was declared on June 24 by the court specializing in MLA and MP cases"
